"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","pro_2016","SPS2017","pro_2017","SPS2018","pro_2018","SPS2019","pro_2019"
"91","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4131,"Tekoèi transferi v sklade socialnega zavarovanja",1525067719,1438268740,-5.69,1457980607,1.37,1339522121,-8.12,1351064156,0.859999999999994
"92","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4132,"Tekoèi transferi v javne sklade",41230769.1,18381158.72,-55.42,16623440.01,-9.56,12321181.22,-25.88,11525207.06,-6.46
"93","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4133,"Tekoèi transferi v javne zavode",1631065995,1722067672,5.58000000000001,1730128683,0.469999999999993,1802272331,4.17000000000001,1923687382,6.73999999999999
"94","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4134,"Tekoèi transferi v državni proraèun",842592,665941.96,-20.97,652025.6,-2.09,638924,-2.01,629642,-1.45
"95","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4135,"Tekoèa plaèila drugim izvajalcem javnih služb, ki niso posredni proraèunski uporabniki",71646786.54,92781601.48,29.5,99621139,7.37000000000001,94691403.33,-4.95,103405564,9.20000000000001
"96","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4136,"Tekoèi transferi v javne agencije",32503631.75,36752898,13.07,40745733,10.86,50970901.77,25.1,55572393.73,9.03
"97","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4140,"Tekoèi transferi mednarodnim institucijam",13917845,26611545,91.2,25424296,-4.46,23706808.04,-6.76,35207504,48.51
"98","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4141,"Tekoèi transferi tujim vladam in vladnim institucijam",7041027,40000,-99.43,10000,-75,0,-100,NA,NA
"99","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4142,"Tekoèi transferi neprofitnim organizacijam v tujini",1469418,7788946,430.07,7843737,0.69999999999999,7855983,0.160000000000005,8225566,4.69999999999999
"100","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4143,"Drugi tekoèi transferi v tujino",7397824.9,1179314,-84.06,1149314,-2.54,1192507.95,3.76000000000001,1133880.72,-4.92
